"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"112","IT","Italy","Somalia",365,57495900,0.317413937341619,0,"cit.Soma"
"113","IT","Italy","Stateless",0,57495900,0,0,"cit.Stat"
"114","IT","Italy","Syria",155,57495900,0.134792219966989,0,"cit.Syri"
"115","IT","Italy","Ukraine",2400,57495900,2.08710534142435,2,"cit.Ukra"
"116","IT","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)",135,57495900,0.117399675455119,0,"cit.Koso"
"117","IT","Italy","Total",30535,57495900,27,21,"cit.Tota"
"118","MT","Malta","Afghanistan",0,399867,0,0,"cit.Afgh"
"119","MT","Malta","Albania",0,399867,0,0,"cit.Alba"
"120","MT","Malta","Eritrea",25,399867,3.12603940810319,3,"cit.Erit"
"121","MT","Malta","Iraq",0,399867,0,0,"cit.Iraq"
"122","MT","Malta","Libya",460,399867,57.5191251090988,58,"cit.Liby"
"123","MT","Malta","Pakistan",0,399867,0,0,"cit.Paki"
"124","MT","Malta","Serbia",0,399867,0,0,"cit.Serb"
"125","MT","Malta","Somalia",15,399867,1.87562364486192,2,"cit.Soma"
"126","MT","Malta","Stateless",0,399867,0,0,"cit.Stat"
"127","MT","Malta","Syria",95,399867,11.8789497507921,12,"cit.Syri"
"128","MT","Malta","Ukraine",35,399867,4.37645517134447,4,"cit.Ukra"
"129","MT","Malta","Kosovo (under United Nations Security Council Resolution 1244/99)",0,399867,0,0,"cit.Koso"
"130","MT","Malta","Total",810,399867,101,22,"cit.Tota"
"131","SE","Sweden","Afghanistan",2285,8975670,12.7288547818714,13,"cit.Afgh"
"132","SE","Sweden","Albania",945,8975670,5.26423097105843,5,"cit.Alba"
"133","SE","Sweden","Eritrea",3345,8975670,18.6337064531116,19,"cit.Erit"
"134","SE","Sweden","Iraq",1270,8975670,7.07468077591979,7,"cit.Iraq"
"135","SE","Sweden","Libya",225,8975670,1.25338832644248,1,"cit.Liby"
"136","SE","Sweden","Pakistan",150,8975670,0.835592217628322,1,"cit.Paki"
"137","SE","Sweden","Serbia",630,8975670,3.50948731403895,4,"cit.Serb"
"138","SE","Sweden","Somalia",2440,8975670,13.5923000734207,14,"cit.Soma"
"139","SE","Sweden","Stateless",1515,8975670,8.43948139804605,8,"cit.Stat"
"140","SE","Sweden","Syria",7445,8975670,41.4732270682857,41,"cit.Syri"
"141","SE","Sweden","Ukraine",790,8975670,4.40078567950916,4,"cit.Ukra"
"142","SE","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)",1285,8975670,7.15823999768262,7,"cit.Koso"
"143","SE","Sweden","Total",28985,8975670,161,37,"cit.Tota"
"144","UK","United Kingdom","Afghanistan",920,59793759,0.769311058031993,1,"cit.Afgh"
"145","UK","United Kingdom","Albania",840,59793759,0.702414444290081,1,"cit.Alba"
"146","UK","United Kingdom","Eritrea",1480,59793759,1.23758735422538,1,"cit.Erit"
"147","UK","United Kingdom","Iraq",575,59793759,0.480819411269996,0,"cit.Iraq"
"148","UK","United Kingdom","Libya",520,59793759,0.434827989322431,0,"cit.Liby"
"149","UK","United Kingdom","Pakistan",1435,59793759,1.19995800899555,1,"cit.Paki"
"150","UK","United Kingdom","Serbia",0,59793759,0,0,"cit.Serb"
"151","UK","United Kingdom","Somalia",210,59793759,0.17560361107252,0,"cit.Soma"
"152","UK","United Kingdom","Stateless",150,59793759,0.125431150766086,0,"cit.Stat"
"153","UK","United Kingdom","Syria",1010,59793759,0.844569748491644,1,"cit.Syri"
"154","UK","United Kingdom","Ukraine",135,59793759,0.112888035689477,0,"cit.Ukra"
"155","UK","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)",10,59793759,0.00836207671773905,0,"cit.Koso"
"156","UK","United Kingdom","Total",15105,59793759,13,8,"cit.Tota"
