"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"129","IT","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)",75,57130506,0.0656391875822,0,"cit.Koso"
"130","IT","Italy","Total",15430,57130506,14,11,"cit.Tota"
"131","MT","Malta","Afghanistan",0,397296,0,0,"cit.Afgh"
"132","MT","Malta","Albania",0,397296,0,0,"cit.Alba"
"133","MT","Malta","Eritrea",15,397296,1.88776126615924,2,"cit.Erit"
"134","MT","Malta","Iraq",0,397296,0,0,"cit.Iraq"
"135","MT","Malta","Libya",195,397296,24.5408964600701,25,"cit.Liby"
"136","MT","Malta","Mali",30,397296,3.77552253231847,4,"cit.Mali"
"137","MT","Malta","Serbia",0,397296,0,0,"cit.Serb"
"138","MT","Malta","Somalia",10,397296,1.25850751077282,1,"cit.Soma"
"139","MT","Malta","Stateless",0,397296,0,0,"cit.Stat"
"140","MT","Malta","Syria",45,397296,5.66328379847771,6,"cit.Syri"
"141","MT","Malta","Ukraine",15,397296,1.88776126615924,2,"cit.Ukra"
"142","MT","Malta","Kosovo (under United Nations Security Council Resolution 1244/99)",0,397296,0,0,"cit.Koso"
"143","MT","Malta","Total",395,397296,50,10,"cit.Tota"
"144","NL","Netherlands","Afghanistan",205,16192572,0.633006294491079,1,"cit.Afgh"
"145","NL","Netherlands","Albania",35,16192572,0.108074245400916,0,"cit.Alba"
"146","NL","Netherlands","Eritrea",140,16192572,0.432296981603664,0,"cit.Erit"
"147","NL","Netherlands","Iraq",215,16192572,0.663884650319912,1,"cit.Iraq"
"148","NL","Netherlands","Libya",25,16192572,0.0771958895720828,0,"cit.Liby"
"149","NL","Netherlands","Mali",5,16192572,0.0154391779144166,0,"cit.Mali"
"150","NL","Netherlands","Serbia",70,16192572,0.216148490801832,0,"cit.Serb"
"151","NL","Netherlands","Somalia",105,16192572,0.324222736202748,0,"cit.Soma"
"152","NL","Netherlands","Stateless",105,16192572,0.324222736202748,0,"cit.Stat"
"153","NL","Netherlands","Syria",715,16192572,2.20780244176157,2,"cit.Syri"
"154","NL","Netherlands","Ukraine",105,16192572,0.324222736202748,0,"cit.Ukra"
"155","NL","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)",30,16192572,0.0926350674864994,0,"cit.Koso"
"156","NL","Netherlands","Total",3010,16192572,9,5,"cit.Tota"
"157","NO","Norway","Afghanistan",170,4552252,1.86720770291276,2,"cit.Afgh"
"158","NO","Norway","Albania",70,4552252,0.768850230611135,1,"cit.Alba"
"159","NO","Norway","Eritrea",150,4552252,1.64753620845243,2,"cit.Erit"
"160","NO","Norway","Iraq",50,4552252,0.549178736150811,1,"cit.Iraq"
"161","NO","Norway","Libya",20,4552252,0.219671494460324,0,"cit.Liby"
"162","NO","Norway","Mali",0,4552252,0,0,"cit.Mali"
"163","NO","Norway","Serbia",15,4552252,0.164753620845243,0,"cit.Serb"
"164","NO","Norway","Somalia",120,4552252,1.31802896676195,1,"cit.Soma"
"165","NO","Norway","Stateless",70,4552252,0.768850230611135,1,"cit.Stat"
"166","NO","Norway","Syria",275,4552252,3.02048304882946,3,"cit.Syri"
